No;Dependen;Dummy;Independen_1;Independen_2
1;1;0;70.25098;12
2;0;1;78.17896;12
3;1;1;46.09198;14.069916
4;0;0;75.33197;9
5;0;1;67.90997;9.945259
6;1;0;86.07794;8
7;1;0;54.96799;14
8;0;0;43.63898;12
9;1;0;18.04199;12.821571
10;1;1;48.42398;11.040535
11;1;0;34.44199;15
12;1;1;68.34796;12
13;0;1;74.70996;12
14;0;0;42.237;16
15;1;0;81.97095;3
16;0;0;78.30499;8.436928
17;0;1;88.422;13.611382
18;0;1;69.00195;11
19;1;0;41.42899;11
20;1;0;67.50397;12
21;1;1;50.59;17
22;0;1;62.689;15
23;0;1;42.05298;12
24;1;0;23.11299;12
25;0;0;62.10797;7
26;1;1;39.82999;13
27;0;0;47.75598;12.821571
28;0;0;36.70099;14
29;0;0;71.20099;12
30;0;0;95.53699;9.945259
31;1;0;67.27997;9.945259
32;1;0;73.49194;12
33;0;1;71.49597;4
34;1;0;54.793;10
35;0;0;36.13397;12
36;0;1;61.43997;9.945259
37;1;0;55.97299;12
38;1;1;51.39999;12
39;0;0;54.31097;12
40;0;0;67.74298;9
41;0;0;59.90399;8
42;1;1;21.092;12
43;0;0;94.07495;11.421669
44;0;0;41.33899;11.421669
45;0;0;80.383;8
46;1;0;58.04199;3
47;1;0;32.07397;11.421669
48;0;0;80.58295;9.945259
49;1;0;70.612;10
50;0;0;80.18896;19
51;1;1;56.76898;15
52;0;0;85.29498;6
53;0;0;63.91498;11.704216
54;0;0;78.086;11
55;0;1;83.37;17
56;0;1;61.86697;16
57;0;1;85.31995;12
58;0;0;42.92398;11.421669
59;1;1;47.97498;6
60;1;0;58.034;12
61;0;0;49.82898;11.421669
62;1;1;69.19098;10
63;1;0;25.40999;0
64;1;0;68.40198;12
65;0;0;63.54797;12
66;0;0;38.91599;11
67;0;0;77.32495;16
68;1;0;58.80099;11
69;0;0;66.32196;11.421669
70;0;1;60.65399;14.252106
71;1;1;66.89398;15
72;0;0;63.48297;12
73;0;1;25.51399;13
74;0;0;83.35895;14.069916
75;0;0;42.28598;10
76;0;0;57.46997;11.040535
77;0;0;76.435;12
78;0;0;80.03796;9
79;1;0;49.52798;16
80;1;1;40.78;18
81;1;0;69.15295;9.945259
82;0;0;68.70099;11.421669
83;1;1;45.57397;13
84;0;0;59.29099;3
85;0;0;81.24597;13.611382
86;0;1;72.81897;12
87;1;0;53.52197;12
88;1;0;39.73199;10
89;0;1;93.02399;11.704216
90;0;0;54.086;11.040535
91;1;0;43.995;12
92;0;0;64.112;12
93;0;0;70.51599;12
94;0;0;87.13995;11.421669
95;0;0;79.79199;12
96;0;0;46.58698;18
97;1;0;87.70996;16
98;1;1;83.56195;12
99;1;0;86.17096;11.421669
100;1;1;49.99899;11
101;0;1;30.56499;7
102;0;1;65.08099;11
103;0;0;63.88498;12
104;0;0;47.82498;14
105;0;0;41.83698;8
106;1;0;49.68698;12
107;1;1;57.09198;7
108;0;0;55.13797;14
109;1;1;44.31998;11
110;0;0;56.30899;12
111;0;0;75.12897;12
112;0;0;76.849;12
113;0;0;57.98999;8
114;0;1;69.40198;12
115;0;1;65.396;9.945259
116;0;0;79.93195;18
117;0;0;71.90997;3
118;0;1;77.19397;9
119;0;0;66.08398;14
120;1;1;20.58899;12
121;0;0;60.271;16
122;0;0;54.08398;18
123;0;0;81.93597;14
124;1;1;36.181;14
125;0;0;86.26996;8
126;0;0;74.68298;6
127;0;0;28.19399;11
128;0;0;86.14899;10
129;0;0;80.60498;24
130;1;0;42.01498;17
131;0;0;34.116;7
132;1;0;82.24799;5
133;0;0;78.70795;8.436928
134;1;1;53.314;14
135;0;0;71.98395;12
136;0;1;67.737;12
137;0;1;80.45697;18
138;1;1;82.41998;20
139;0;0;88.172;9.945259
140;1;0;76.21399;14
141;1;0;52.87097;11
142;0;1;66.52698;16
143;0;1;44.44397;12
144;0;0;84.68396;8
145;1;1;40.82098;12
146;0;1;70.12695;16
147;0;0;64.08197;6
148;0;0;42.21198;12
149;0;0;83.32397;23
150;0;1;77.49799;10
151;0;0;65.659;10
152;0;1;88.94495;9.945259
153;0;1;49.56097;16
